x	dA1p_stat
0.075   0.0072
0.125   0.0116
0.175   0.0157
0.225   0.0195
0.275   0.0230
0.325   0.0262
0.375   0.0291
0.425   0.0317
0.475   0.0340
0.525   0.0361
0.575   0.0378
0.625   0.0395
0.675   0.0407
0.725   0.0431
0.775   0.0550
