  x	u	d
  0.83 	0.96058932  	 0.758583987
  0.835	0.962833948  	 0.770723331
  0.84 	0.965016198  	 0.782686379
  0.845	0.967135659  	 0.794460707
  0.85 	0.969191931  	 0.806033761
  0.855	0.971184624  	 0.817392882
  0.86 	0.97311336  	 0.82852533
  0.865	0.974977772  	 0.83941831
  0.87 	0.976777504  	 0.850058999
  0.875	0.978512214  	 0.860434574
  0.88	0.980181569  	 0.870532241
  0.885	0.981785249  	 0.880339269
  0.89	0.983322947  	 0.889843017
  0.895	0.984794368  	 0.89903097
  0.9 	0.986199229  	 0.907890771
  0.905	0.98753726  	 0.916410256
  0.91	0.988808204  	 0.924577488
  0.915	0.990011817  	 0.932380789
  0.92	0.991147868  	 0.939808782
  0.925	0.992216138  	 0.946850419
  0.93	0.993216424  	 0.953495018
  0.935	0.994148534  	 0.959732299
  0.94	0.995012291  	 0.965552417
  0.945	0.99580753  	 0.970945995
  0.95	0.996534102  	 0.975904156
  0.955	0.997191869  	 0.980418554
  0.96	0.99778071  	 0.984481403
  0.965	0.998300516  	 0.988085509
  0.97	0.998751192  	 0.99122429
  0.975	0.999132658  	 0.993891808
  0.98	0.999444847  	 0.996082784
  0.985	0.999687706  	 0.997792624
  0.99	0.999861199  	 0.999017436
  0.995	0.9999653  	 0.999754044
