  0.10000E-01   0.79454E-01  -0.52398E-01  -0.16207E-01
  0.15000E-01   0.96868E-01  -0.66640E-01  -0.23755E-01
  0.20000E-01   0.11075E+00  -0.78471E-01  -0.30754E-01
  0.25000E-01   0.12241E+00  -0.88633E-01  -0.37240E-01
  0.30000E-01   0.13248E+00  -0.97535E-01  -0.43257E-01
  0.35000E-01   0.14136E+00  -0.10547E+00  -0.48852E-01
  0.40000E-01   0.14936E+00  -0.11263E+00  -0.54067E-01
  0.45000E-01   0.15665E+00  -0.11918E+00  -0.58941E-01
  0.50000E-01   0.16339E+00  -0.12521E+00  -0.63508E-01
  0.55000E-01   0.16966E+00  -0.13081E+00  -0.67799E-01
  0.60000E-01   0.17554E+00  -0.13604E+00  -0.71841E-01
  0.65000E-01   0.18109E+00  -0.14097E+00  -0.75659E-01
  0.70000E-01   0.18635E+00  -0.14563E+00  -0.79273E-01
  0.75000E-01   0.19137E+00  -0.15007E+00  -0.82702E-01
  0.80000E-01   0.19619E+00  -0.15433E+00  -0.85963E-01
  0.85000E-01   0.20084E+00  -0.15842E+00  -0.89072E-01
  0.90000E-01   0.20536E+00  -0.16239E+00  -0.92041E-01
  0.95000E-01   0.20977E+00  -0.16626E+00  -0.94882E-01
  0.10000E+00   0.21410E+00  -0.17003E+00  -0.97606E-01
  0.15000E+00   0.25628E+00  -0.20589E+00  -0.12009E+00
  0.20000E+00   0.30248E+00  -0.24367E+00  -0.13714E+00
  0.25000E+00   0.35933E+00  -0.28493E+00  -0.15105E+00
  0.30000E+00   0.42762E+00  -0.32647E+00  -0.16281E+00
  0.35000E+00   0.50117E+00  -0.36420E+00  -0.17293E+00
  0.40000E+00   0.57180E+00  -0.39509E+00  -0.18173E+00
  0.45000E+00   0.63319E+00  -0.41774E+00  -0.18945E+00
  0.50000E+00   0.68181E+00  -0.43263E+00  -0.19627E+00
  0.55000E+00   0.71653E+00  -0.44226E+00  -0.20230E+00
  0.60000E+00   0.73830E+00  -0.44999E+00  -0.20761E+00
  0.65000E+00   0.75049E+00  -0.45737E+00  -0.21229E+00
  0.75000E+00   0.76911E+00  -0.45752E+00  -0.22027E+00
  0.85000E+00   0.77600E+00  -0.45814E+00  -0.22635E+00
  0.90000E+00   0.75888E+00  -0.46068E+00  -0.22813E+00
  
