x Q2 A1n stat syst
7.2500000E-01 0.0000000E+00 4.2078255E-01 4.3040000E-02 0.0000000E+00
7.7500000E-01 0.0000000E+00 5.1747493E-01 6.1000000E-02 0.0000000E+00
8.2500000E-01 0.0000000E+00 6.2478189E-01 1.0200000E-01 0.0000000E+00
8.7500000E-01 0.0000000E+00 7.4167512E-01 2.3600000E-01 0.0000000E+00
