# JLab E06-014
# unpol base columns from NNPDF3.0 NLO PDF



x  Q2  du/u  Edu/u  dd/d  Edd/d  xu+  Exu+  xd+  Exd+
0.277  2.2  0.423  0.033  -0.160  0.098  0.7043  0.0094  0.3393  0.0126	
0.325  2.5  0.484  0.037  -0.283  0.064  0.6277  0.0091  0.2620  0.0114
0.374  2.9  0.515  0.044  -0.241  0.062  0.5374  0.0087  0.1910  0.0112
0.424  3.3  0.569  0.051  -0.499  0.074  0.4375  0.0080  0.1356  0.0106
0.474  3.4  0.595  0.063  -0.559  0.099  0.3448  0.0069  0.0962  0.0085
0.548  4.6  0.598  0.077  -0.356  0.170  0.2095  0.0049  0.0479  0.0065
