# HERMES 2014: Phys. Rev. Lett. 92 (2004) 012005
# 
# <Q^2> = 2.5 GeV^2


x  du  Edu  dd  Edd  dub  Edub  ddb  Eddb  ds  Eds
0.0333  0.0305  0.0412  -0.0340  0.0421  0.0437  0.0436  -0.0339  0.0418  0.0317  0.0506
0.0475  0.0525  0.0422  0.01580  0.0421  0.0290  0.0427  -0.0862  0.0412  0.0367  0.0387
0.0647  0.0794  0.0403  -0.0388  0.0393  0.0019  0.0409  0.0019  0.0372  -0.0029  0.0318
0.0870  0.2194  0.0412  -0.0780  0.0392  -0.0623  0.0399  -0.0270  0.0377  -0.0052  0.0295
0.1180  0.2540  0.0394  -0.1555  0.0383  -0.0619  0.0372  0.0575  0.0340  -0.0130  0.0262
0.1657  0.2635  0.0423  -0.0301  0.0440  -0.0431  0.0404  -0.0830  0.0400  0.0418  0.0272
0.2394  0.2664  0.0509  -0.1536  0.0488  0.0446  0.0501  0.0235  0.0466  -0.0227  0.0272

