x                A1p
0.0109455356109  0.050826288186
0.0131996327583  0.0646019394462
0.0165822864983  0.0788521139575
0.0199643817128  0.0954775856463
0.0250389208483  0.114477550236
0.0295495726554  0.131577545175
0.034625340547   0.145351855975
0.0391357689438  0.163401969785
0.0436474260967  0.176226429806
0.0473131405519  0.186675994787
0.0518250211151  0.198550335936
0.0571832911963  0.210899334383
0.0633878390906  0.224198049562
0.0707209435774  0.237971287992
0.0783362151387  0.251744392376
0.0867986581537  0.262666738009
0.0961068204563  0.276914097552
0.10936509839    0.29210969932
0.123752156327   0.306829705468
0.136164826679   0.318225233891
0.150270164362   0.331045136343
0.164375948865   0.341964801054
0.177917734335   0.35145955555
0.190049019548   0.35952980197
0.201051636463   0.367600584575
0.217414869266   0.378044117481
0.234906546958   0.389437233074
0.247602166319   0.397507211402
0.260298009091   0.404627070859
0.27637907482    0.415070737811
0.292742642739   0.424089092411
0.308823596763   0.435007818798
0.325751387126   0.444500964741
0.341550620896   0.453519587433
0.35565707563    0.46158889553
0.370045585733   0.470133129017
0.386691209021   0.479626409006
0.402208275717   0.488645165744
0.415186285563   0.495764891155
0.427600072966   0.502409825223
0.43916747085    0.508580101993
0.45299175851    0.516649544137
0.465969768356   0.523769269548
0.479794279426   0.530888592821
0.493618790495   0.538007916093
0.50744318986    0.545602298802
0.524935426076   0.554620117217
0.544120553034   0.564112190791
0.564716515364   0.573603594134
0.583337196468   0.583570995235
0.600547600725   0.59116376939
0.617193447424   0.599706930508
0.633275295089   0.606825181412
0.652460310341   0.616792314421
0.671645549004   0.62580932856
0.686881007151   0.632452922166
0.703526965555   0.640521023849
0.715940976367   0.646215839045
0.732586934771   0.654283940728
0.749797339028   0.661876714883
0.766161242062   0.669469891176
0.782243089727   0.676588142079
0.791271654173   0.679909268652
0.813843009434   0.688449614802
0.82879574198    0.697468639632
0.849391927721   0.706009924104
0.862370272682   0.711704471209
0.875630784718   0.717398884267
0.886634183569   0.722144250824
0.899612416826   0.728313857364
0.914001262044   0.735432912544
0.928390330673   0.741601848853
0.945036512486   0.748719831665
0.957732802079   0.75393945338
0.968454368971   0.757259775676
0.975507317075   0.762482078314
