x            A1n
0.10000E-03  -0.69112E-02
0.12500E-03  -0.75972E-02
0.15000E-03  -0.82122E-02
0.17500E-03  -0.87742E-02
0.20000E-03  -0.92945E-02
0.22500E-03  -0.97809E-02
0.25000E-03  -0.10239E-01
0.27500E-03  -0.10674E-01
0.30000E-03  -0.11087E-01
0.32500E-03  -0.11483E-01
0.35000E-03  -0.11863E-01
0.37500E-03  -0.12228E-01
0.40000E-03  -0.12581E-01
0.42500E-03  -0.12922E-01
0.45000E-03  -0.13253E-01
0.47500E-03  -0.13574E-01
0.50000E-03  -0.13886E-01
0.52500E-03  -0.14190E-01
0.55000E-03  -0.14487E-01
0.57500E-03  -0.14776E-01
0.60000E-03  -0.15059E-01
0.62500E-03  -0.15335E-01
0.65000E-03  -0.15606E-01
0.67500E-03  -0.15871E-01
0.70000E-03  -0.16131E-01
0.72500E-03  -0.16386E-01
0.75000E-03  -0.16636E-01
0.77500E-03  -0.16882E-01
0.80000E-03  -0.17124E-01
0.82500E-03  -0.17362E-01
0.85000E-03  -0.17596E-01
0.87500E-03  -0.17826E-01
0.90000E-03  -0.18053E-01
0.92500E-03  -0.18277E-01
0.95000E-03  -0.18497E-01
0.97500E-03  -0.18714E-01
0.10000E-02  -0.18929E-01
0.12500E-02  -0.20930E-01
0.15000E-02  -0.22727E-01
0.17500E-02  -0.24368E-01
0.20000E-02  -0.25887E-01
0.22500E-02  -0.27306E-01
0.25000E-02  -0.28641E-01
0.27500E-02  -0.29905E-01
0.30000E-02  -0.31107E-01
0.32500E-02  -0.32255E-01
0.35000E-02  -0.33355E-01
0.37500E-02  -0.34412E-01
0.40000E-02  -0.35430E-01
0.42500E-02  -0.36413E-01
0.45000E-02  -0.37364E-01
0.47500E-02  -0.38286E-01
0.50000E-02  -0.39180E-01
0.52500E-02  -0.40049E-01
0.55000E-02  -0.40895E-01
0.57500E-02  -0.41719E-01
0.60000E-02  -0.42523E-01
0.62500E-02  -0.43307E-01
0.65000E-02  -0.44073E-01
0.67500E-02  -0.44822E-01
0.70000E-02  -0.45555E-01
0.72500E-02  -0.46273E-01
0.75000E-02  -0.46976E-01
0.77500E-02  -0.47666E-01
0.80000E-02  -0.48342E-01
0.82500E-02  -0.49006E-01
0.85000E-02  -0.49657E-01
0.87500E-02  -0.50298E-01
0.90000E-02  -0.50927E-01
0.92500E-02  -0.51545E-01
0.95000E-02  -0.52153E-01
0.97500E-02  -0.52752E-01
0.10000E-01  -0.53341E-01
0.12500E-01  -0.58776E-01
0.15000E-01  -0.63538E-01
0.17500E-01  -0.67778E-01
0.20000E-01  -0.71595E-01
0.22500E-01  -0.75058E-01
0.25000E-01  -0.78216E-01
0.27500E-01  -0.81107E-01
0.30000E-01  -0.83762E-01
0.32500E-01  -0.86205E-01
0.35000E-01  -0.88456E-01
0.37500E-01  -0.90531E-01
0.40000E-01  -0.92447E-01
0.42500E-01  -0.94214E-01
0.45000E-01  -0.95844E-01
0.47500E-01  -0.97348E-01
0.50000E-01  -0.98734E-01
0.52500E-01  -0.10001E+00
0.55000E-01  -0.10118E+00
0.57500E-01  -0.10226E+00
0.60000E-01  -0.10325E+00
0.62500E-01  -0.10416E+00
0.65000E-01  -0.10499E+00
0.67500E-01  -0.10574E+00
0.70000E-01  -0.10643E+00
0.72500E-01  -0.10705E+00
0.75000E-01  -0.10761E+00
0.77500E-01  -0.10811E+00
0.80000E-01  -0.10856E+00
0.82500E-01  -0.10897E+00
0.85000E-01  -0.10932E+00
0.87500E-01  -0.10964E+00
0.90000E-01  -0.10991E+00
0.92500E-01  -0.11014E+00
0.95000E-01  -0.11034E+00
0.97500E-01  -0.11051E+00
0.10000E+00  -0.11064E+00
0.12500E+00  -0.11068E+00
0.15000E+00  -0.10917E+00
0.17500E+00  -0.10668E+00
0.20000E+00  -0.10311E+00
0.22500E+00  -0.97855E-01
0.25000E+00  -0.89963E-01
0.27500E+00  -0.78328E-01
0.30000E+00  -0.61955E-01
0.32500E+00  -0.40214E-01
0.35000E+00  -0.13046E-01
0.37500E+00   0.18920E-01
0.40000E+00   0.54407E-01
0.42500E+00   0.91672E-01
0.45000E+00   0.12880E+00
0.47500E+00   0.16404E+00
0.50000E+00   0.19603E+00
0.52500E+00   0.22393E+00
0.55000E+00   0.24743E+00
0.57500E+00   0.26663E+00
0.60000E+00   0.28190E+00
0.62500E+00   0.29377E+00
0.65000E+00   0.30284E+00
0.67500E+00   0.30965E+00
0.70000E+00   0.31473E+00
0.72500E+00   0.31853E+00
0.75000E+00   0.32138E+00
0.77500E+00   0.32334E+00
0.80000E+00   0.32380E+00
0.82500E+00   0.32135E+00
0.85000E+00   0.31529E+00
0.87500E+00   0.30691E+00
0.90000E+00   0.29730E+00
0.92500E+00   0.28603E+00
0.95000E+00   0.27114E+00
0.97500E+00   0.23885E+00
0.99000E+00   0.13687E+00
