    .100000E-02    .936623E-02   -.138228E-01
    .100700E-02    .943593E-02   -.139096E-01
    .101400E-02    .950715E-02   -.139967E-01
    .102100E-02    .957732E-02   -.140841E-01
    .102800E-02    .964902E-02   -.141730E-01
    .103500E-02    .972095E-02   -.142610E-01
    .104200E-02    .979312E-02   -.143505E-01
    .105000E-02    .986554E-02   -.144404E-01
    .105700E-02    .993949E-02   -.145318E-01
    .106400E-02    .100137E-01   -.146223E-01
    .107200E-02    .100881E-01   -.147143E-01
    .107900E-02    .101628E-01   -.148067E-01
    .108600E-02    .102378E-01   -.148994E-01
    .109400E-02    .103143E-01   -.149937E-01
    .110200E-02    .103910E-01   -.150869E-01
    .110900E-02    .104681E-01   -.151818E-01
    .111700E-02    .105453E-01   -.152771E-01
    .112500E-02    .106242E-01   -.153726E-01
    .113200E-02    .107033E-01   -.154698E-01
    .114000E-02    .107826E-01   -.155659E-01
    .114800E-02    .108623E-01   -.156638E-01
    .115600E-02    .109422E-01   -.157619E-01
    .116400E-02    .110237E-01   -.158617E-01
    .117200E-02    .111054E-01   -.159605E-01
    .118000E-02    .111874E-01   -.160610E-01
    .118900E-02    .112697E-01   -.161618E-01
    .119700E-02    .113537E-01   -.162643E-01
    .120500E-02    .114379E-01   -.163657E-01
    .121300E-02    .115223E-01   -.164689E-01
    .122200E-02    .116071E-01   -.165724E-01
    .123000E-02    .116921E-01   -.166762E-01
    .123900E-02    .117788E-01   -.167804E-01
    .124700E-02    .118657E-01   -.168862E-01
    .125600E-02    .119529E-01   -.169925E-01
    .126500E-02    .120418E-01   -.170990E-01
    .127400E-02    .121310E-01   -.172059E-01
    .128200E-02    .122204E-01   -.173146E-01
    .129100E-02    .123102E-01   -.174236E-01
    .130000E-02    .124002E-01   -.175330E-01
    .130900E-02    .124920E-01   -.176427E-01
    .131800E-02    .125840E-01   -.177541E-01
    .132700E-02    .126763E-01   -.178660E-01
    .133700E-02    .127703E-01   -.179781E-01
    .134600E-02    .128632E-01   -.180907E-01
    .135500E-02    .129578E-01   -.182036E-01
    .136500E-02    .130541E-01   -.183183E-01
    .137400E-02    .131493E-01   -.184333E-01
    .138400E-02    .132463E-01   -.185502E-01
